BD,BD_qc,count,count_qc,DC,DC_qc,Drive,Drive_qc,Energy_Consumption,Energy_Consumption_qc,Fault1,Fault1_qc,Fault2,Fault2_qc,Fault3,Fault3_qc,peed,Speed_qc,Temp,Temp_qc,Output,Output_qc,requency,Frequency_qc,Power,Power_qc,Torque,Torque_qc,Voltage,Voltage_qc,Word,Word_qc,_time
,,,,513,0,29.2,0,417,0,0,0,0,0,0,0,1199,0,24,0,0.25,0,39,0,,,0.2507429,0,,,60215,0,"2020-11-10T13:10:00.968Z"
,,,,513,0,29.2,0,420,0,0,0,0,0,0,0,1199,0,24,0,0.26,0,39,0,,,0.2507429,0,,,60215,0,"2020-11-10T13:10:00.968Z"
